merchant_id,z_score
33e4954478a4c91de8be3b9feb28e972,13.98172465
dae9ad236c11ee65425921309851a162,11.14502385
aceafc50fbd2c53cc75ada4f86035ecd,10.16096484
53a83d6131f9fdc81d90beb31702932e,10.05247627
4daab94b22b63a9e47c1762083a4c9e0,9.694109787
7d3ed3e756db3968eeb6edb36e2582c2,9.16314731
a8d7ddfb1a52643b880728e1fb453493,9.129981112
5a562b1ecd3433001cad71b66be9bb6d,8.15961051
c336fcef7e3edebda3f4df29549bf5fb,7.663144522
715eb56d3f3b71792e230102d1da496d,7.099022563
db1cfc76c5e5ff5ac1ac07921d99526b,6.53482786
c565ebb6787ab1cc88374b51dd75a78f,6.53482565
b68bcc008bf06986ac30f9be4452e879,5.628618464
ad0345499701a306fd926b3623bf8d44,5.46550343
d5b6b70d699632863dc8f80e1648dcff,5.368996533
07275a4e94ca08b4bbda0f4dac01871e,5.290265201
5b1ddd68bf83ddf581f02abecf0fac97,5.180856578
58e482246c5fb6426489b990b1057fe1,5.180855434
5b3f284003b54d9abc321e21a9e16449,5.041737018
0d469b4cd1f3e50d9a79d02f97905995,4.781826021
85bbbcff1e1ac5dae544e0a76eedde4b,4.653335091
9a03630ad723b7fa2778b34035d1c985,4.503859697
1b1f9a3e639ecc53f335314fc9d8403b,4.503857084
b2117d30b18a0d9b5bc6427036c30758,4.503856886
bf09e894923f07692435e793d24d6fb9,4.165371477
298319d301afe8a7dba7e6372269cb5e,4.127758645
a72795d6874581a395f8a2ba7c4a0068,3.949968557
88c684398fdcd02e0cf958f8ddb068d6,3.826867841
d71c7e83d2c85078d5a978df26a0aec0,3.826865931
61f5608c2eccc5b34686c8978f0c4e19,3.826863424
4bddbdf08c3f717afcfd5f56ef91433a,3.826858284
9286323c820f3b6a42ba23c4b90fe618,3.698819547
7d1e338e51acc0a4e13e297b9b54e4e0,3.657643587
d2a2619455160e361c0fb30f074c01a2,3.488380519
a9d06a85d0648ba88aa3291f2f47a90a,3.488374589
431d3c0ba119e7d5519b3568afb08ce9,3.48837093
013154403b9d27634b2ce368eadbe1ca,3.488365744
8c47f7c40acb430047f501a2d5345776,3.457630302
5862f23182fd612174fbdeabb70628ff,3.285273085
22b13941c56521821183db80d815f772,3.149945349
4744015f38ee03ef7f62f60a5017907c,3.149885487
2b49ff67ea8fd5d2430f20b98feb336f,3.14987907
6d54054285d41e43f72b3e9e55d597fa,3.149878638
d645959cbc0d365520b54320c4266be1,3.149877789
379071ecce906d76e0e26ec855190ab9,3.149877763
1db3ba9a3d958ca08786ad452621efac,3.149877346
7bff87c59e3fbc5e1ded2fe3ce1d9865,3.149877198
13c3acc2a29a23d76c791ebb0127a861,3.149877174
9e6dbdf0b5520870b6a21cd40f68b35a,3.149876811
5c69d922130193b0e7953424d7b00708,3.149876339
1cb4790d32af93c3146cb2c6b0d98920,3.149875035
ef26837175f450f1abc5f92107b9acbf,3.1498747
877638212861256c9cc89c428b96a29e,3.149874144
0be04380d8d0a7cb9c7dff34df9a0d0b,3.149873624
888543d1af6e727f62bc59b2c4c03ea9,3.149873117
9333fc4f6668e916891b91645367a32a,3.149872198
4c1f53116d73ff13367ffbfd35d8a105,3.149871788
4c42e3dbc40d94ff730dbae51f71e1e5,3.149871538
de7e76952411d036ca4b58ffcf37bfe7,3.149866213
d0b416a4ccac7ca256e9e0b8d137ec0b,3.149861789
99ee2d61ce22795acc55825466a1150f,3.107607519
96bbe67c3403bb6fea2000ff4a164758,3.028368338
8bf6b69cd9c0bfa9bcfd2dd36080c4c3,3.007390564
3fcbc35348cee50c21fee5d0b5ab5e51,3.006874953
c13aa14c57d4ad455bc0694eb98ea14b,2.963211509
e1a0e6244882cb1a64b5aaf4a932a79f,2.924219243
10caad252666c9992275b6be2555dc6e,2.924213863
ab6af68db6434f5fd7bf1cafc54a8ce1,2.848999015
59ff461e9d87fd02300ac1b7abf19f69,2.837442487
7ee88a9926490d07e8026f245d9bf263,2.811389506
39cd8b707708da2c8ea274dc6e16882c,2.811386063
3c383a7279bf9f3e124ee4b34fe7bca3,2.81138243
92e8037e71921dad0f1e46671506cc4e,2.81138186
2ee54ad04e0c4ccddb42bd52efcf27e8,2.811379266
1d161f69a8140618d2d276d9092ce4d9,2.811372793
674c69ad9d662486f982c1f2ab78f504,2.811363049
0b4ac5cb7c30eab756e8d88b3104f22a,2.776370676
51f2e9ae8acea3cede0ab0b8fbcd973d,2.77166913
3c08329f4c8eb2cecf789f9818fc4ca8,2.764390336
a32bc8141e168ff20fdfe3f0fbc72155,2.760597026
934307c5f6de137954bb0b5d7f18fa30,2.746918085
64ecbc65159256792cacce64096c9c54,2.743685517
0a4096345f092c37b8a29da4d03133f4,2.719134268
d38f4b9a470d278ca501d6a3f54b5645,2.714669792
3c80f0a397607aa31ec6c39965cf9830,2.698554932
5f80afe246d9ece2429e5afdb9f2b211,2.698550775
ad720f99a3b6ea189d9c352217bd3028,2.691715653
0f77e406b2bf5f4bf4ae0e5e90c325da,2.642139503
e913bfa37964c7073c81c32a6d750b99,2.642135726
ec6b45e6329906a0068a8772960c6a60,2.623333846
9e6a4b0e1ed01007f6604abd3e4d2163,2.608284522
1fedfbc417191bfad6fee4875667e479,2.608235563
554b410858ac9b6b9b5768601594e5df,2.602537776
95356eea66841c802e7ccd40299dcfb5,2.57396229
4ce2dc45f5dcc0b44e0162f8dc4ea237,2.571684695
bab2a4505dc27efff8e4c894be13c29d,2.569603975
5792a227e0f56a94e118de0585387c32,2.540586447
4b657671b583d45e63cada58d6f555dc,2.540526394
6b59f92676fd007e9cc45d7f3fdd51f4,2.534436333
47af7fca91dd663217384fadcd58c8ab,2.530607959
6708d004c4cc52b1a3f1947c75b76395,2.526274809
5039c877840015a6f06d36be4b81dd3b,2.518030791
146c17f5cc1fc1826576caa0d4fcb5c0,2.476688169
ae5e5d97ec37b67fcd007bb1657f879b,2.472901354
a3c9168fafcb3b01aaf98092e5cca43c,2.472899748
762fea2c37f77a042cbd391f7bab4830,2.472891302
657a181608b1681ed7c968df03a136a4,2.472891059
d5c11ef989a985d51ca34481f0e40b83,2.472890126
11e9af4389ecc69ac68ad7251e96af60,2.472890001
8becabfd3781cac86c0988f11d76e690,2.472889682
4f15aadf3e169cd0a6ede1b83501fc03,2.472888919
54078928d109ff10b9dd8cd2ae274ecf,2.472888302
7f45ea9c5f39c225789eaefdc0c65368,2.472888245
496c5ec9635f46692fdbf58f3a0837f0,2.472888058
39f3a91f7def5376b696f85ccde52382,2.472887925
94f0a35a8ae73c670fec214e5c595227,2.472887628
9f5ca245a4e4bb9fe34414b6acc2ea49,2.472887608
4ed3afdfc92c378c6be80b20f50cc02c,2.472887437
7580584dbb499d1e2a45411a0cc7fa23,2.472887243
28bcb7c4e9de0a7af0e2074e00d38654,2.472887093
93eb4113b7fb1afeb710caa48bb0e2a2,2.472887083
0fa55706c70cfddbae6b05020b195b07,2.472887059
f861304a6d022c22e70244ebc8f87f49,2.472886917
ea9172dfb7786020e75b271b602547b0,2.472886858
2929cfd01fc6ab5564451d72a16977b7,2.472886832
f32f8883a87958b823310350d9f21a76,2.472886662
4bd51b84dd6a0f7ec89401fedf627fec,2.472886439
76a1dab35a371b4072738f055ba3ab2c,2.472886402
9f97faba4ab1bf7f860a9d6b372b1684,2.472886396
89c47272c2a83027f5d8794e9c77dcc7,2.472886357
836ccf4ecb989664447ee7a7b220707f,2.472886178
6eea7e1db436eb76876c45e662038fa9,2.472886126
a2fd21501b8a7b663671233f7b5d7483,2.472886056
ecf2634b8e4df7d0a845c05b89bff2c3,2.472886021
42174967e0d54eedf303a49717e020bb,2.472885603
144679b5d1ddb8650c3155c645a1d976,2.472885595
2a6c7cacb54c998aaa18eba67f5edccf,2.472885552
6c766ed2f0289e20a8097cfdba95f311,2.472885552
69d4bd2193646b6d8291cb3f90fbf021,2.4728855
600a4d6403d3914e1e24b13808bd4bd4,2.472885381
ff5cb6d5007c0a3f7e1af9336d1f523c,2.472885327
1a81f073643813cbfc8102ccb388441e,2.472885214
a28bc0f6596b0d497b2413109c0b39e1,2.472884973
4928e46bcbe527ef51745fdd83d50cd7,2.472884832
3fc4e5bdaa456f103df4acb7bca2da1a,2.472884333
53627eebc0d53a2b95b903e6f45713f9,2.472884293
cc88ced1e298d32dcad4c0aff35ab56f,2.472883992
c52478ead80d883d7791e33dec94391c,2.47288388
93d1cffd2ed2a189368861dcc0d44924,2.472883879
d6686469a29701048799005b5ebb1529,2.472883694
e678c019bd5a54a28103c0229d76bf40,2.472883242
307431dd59c98b7738c1fc3bf14d65d9,2.472882513
73f395ad9b1623e5e3b6d1f010f7adb6,2.472881029
3217b476a98f062dbfc82e41d474c86e,2.472880774
05898ab6c993d67fc345429aa63ebbfe,2.472875505
84ee9b98fb49882ef6b35486ce56d3c3,2.472870364
f3535a949e0637d4894131d516649a5f,2.443047002
386c6b22e02eeb08bbab3df14165501a,2.436171162
75a9541ac7c83d368cc3edb3391e5f35,2.41403135
aff71375ac1acbe384b7ff4f4952c6ff,2.405192901
c7498c23c40caf66d815866fd8c0d398,2.40269141
f83bc2ec48a3fe867950df11f0f0e7df,2.398590816
bd4c9ab730f5513206b999ec0d90d1fb,2.379422832
c625dc1fd57f8d818b6718ee5ce9d27e,2.360067748
9188905e74c28e489b44e954ec0b9bca,2.35451346
8bb44a4484ed9db601175015d8070615,2.349798597
cbfb1ba0abb2c4fc16896795b218bf80,2.347567725
0e1ddc294fde5896865dd30b1912c8a0,2.342293788
b07c2febaafe6520c67734393cac58b0,2.316665704
7898f453bbbcc2c64665ea922552af2a,2.303644278
c8368c9a53fa93e7832cd0782bb9d644,2.303643132
a6ac00b248a6154b5272f1ad12590923,2.303634598
7dee0f96f1511cf46faf7f44d2cfb7fd,2.301561498
c0e190d8267e36708f955d7ab048990d,2.283441023
9b44f920ec0d026a26a48bcac4dcba2a,2.268350342
9348cc4acd1a139d713bfb0b00ea5016,2.264592323
820d7297223d5e401166cb6cbfd53b1f,2.247229876
0d4b4d86ad5494dd9816cbf00dde7b73,2.247223595
be136645ae81f6b2bcc9f6356f04b83d,2.219022451
59badf42f52eb034d7c297a84ac0a951,2.210378043
89bccf7525bbf3cfae49cef1edd7932a,2.205257406
f373c0eaa6d88216be0f8f9085e8a5ec,2.20513637
20f9389d9d20f60602788f9d1238b253,2.202081346
fa8cdd11992647240408bc1d3c09bc82,2.196984654
8d4d33be85280c4b249feb31c53974bb,2.190815498
5ea1e18a88ae60182918e2fd6f5c6672,2.169716333
8afc0327c6d499ed20c99d2a2502c7b9,2.166151769
1394033bf37247ea56b42fe86c24013a,2.134405854
0bc58258e6f3c040a65fa2bfc9d0c907,2.134398427
3e12d6d201020d2c809f63b8d02161b3,2.134397878
87b1af298e54f781f8e1bd44c88e5934,2.134395678
3861c880024890cffd4263cd7049a26f,2.134395223
06725569496062bb79a86ff4bc931950,2.134394767
c2fe9a007bc6d74f028178c5bb912476,2.134394107
d168f6ff40ce29c980fd0c4dc134c81a,2.134393255
b0823e75bda4ac493cf30862c2b977ef,2.134392857
a1a67abe6a11d0d601becfc66db8031a,2.13439278
8b9845fa0b5ce34fb2de2050a0bb1353,2.134392625
f3f798dc6b150abe265d77c3e46538a9,2.134392571
bf35568942211be6382dd8f9c7fb2b25,2.134392183
c39fb4db31b289707e29d5fb32c3c2eb,2.134392044
68abe0dcf750a593bbfbe12c8b36e930,2.134392023
ba708ec6c91cdc7c9b8bc80941c35168,2.134392004
65766fc6ff2b1cf053532ab8b20acb1e,2.134391889
83e1adbd4772ca2758d087bc632ec9eb,2.134391581
2a3d44d58af148063fe7c09ec4198adf,2.134391048
58111ca2842fcb35ecbfd51fd89eb79a,2.134388254
d17f5f9a0f781be4885fbd8b25f4f51a,2.134388119
9abcd7ad0d9b1da387a19cc3fc572cde,2.116424271
9c677bd9ead4ea4926c59a7d0467881d,2.110812654
4f2370b46252ec04795291e2a8ed3515,2.108353719
e973f260954a7eab939333d0548bc060,2.103611754
d554a869d3d85d3239b4416ab8483be7,2.09679831
5c3507b72dec5e4f097906ccf9df0c88,2.080962399
e9207b29809ff6b502b0b200db6c8820,2.074651926
33f57f79648ec1697ef41b85f0706428,2.066696845
3c3aa68fd1070715d935af9c3a7ef730,2.066696772
4084a19b5a67f58b405ce3be710a9328,2.066694831
738f3b918f4c0cd73b79ac93c3d5dfc5,2.06669172
244c17e05deb609cc15de2e0806698d8,2.062564183
4407c7f76e0e823992daaac1be05bf6c,2.049720929
3b876a50ebcaa450103c48dbe0825226,2.025188906
4e370c7b2c3e69be04efc08df7a3e057,2.021585578
80f800cedb93ef825615a88eb8c89e0d,2.021564571
d1dc45410ca4949bb399990e7a228428,2.021562595
472d0b916c0de531fd1eb7ec1b961288,2.021562453
120abfb5a563189d592cc152d803eb58,2.021561625
e225f54774a1fa1358ba9f23b2809ad5,2.02156103
03bff91714bd96b57066016531994c36,2.021560865
37e9b839eeb8b2d3c484e37c548dccae,2.021560156
f4fa0a70f071aff855fe3ce9cf993346,2.02155865
9ad869837fac24698bc56ead9e0dae24,2.021532902
46e6d0f07b047818edf84360acd315c7,2.015489665
77c67b0f0e59ae3e0e2b4ba9e249b9d8,1.995027573
2ff2b07ae7f6a600db9d522db53b1b38,1.983996471
1cec7dada44678136cc7f6a8a7a0aeaf,1.965157902
b95ce036f93e8fab8b7ef8ffa8b84c0c,1.965150156
3dc8c7edcfd22274ec16790c9ca3f6c1,1.965147724
e7493f88565c564759131105f72954b2,1.965147015
e3f116fa384be4ba078c279495ec8581,1.965145927
54500e08590a4e4ea5a0626573abc870,1.937158109
180123dccc1e079eb3dff759832cb255,1.93129412
0ea326a479cf94f2fdcc755b9eb34954,1.928328608
95a4c08b069b1c01250ffeda1f8e7f7b,1.927772398
f9727a2318cbe5af708d2ee49639ff23,1.92692808
9955f2f0e7f1f4811da769b66370f7dc,1.919466209
0e24c7f48a4724c43976fbc0fc5bc14b,1.915376845
dbb6b4e727f400075c39bd45209c5b1c,1.911501184
2a506b217a5a867a204d645bbd486ad3,1.90873425
7774454112c26855582d154a5d5f81c0,1.90871787
162b43e29b2bc469f0a98693b6890ba4,1.908709212
2b73fd917ee9cc38ec528df06d5b8561,1.890689643
a4cfff2f82da85e81bb59f671dc8bb1d,1.887255698
063b7d7ae9cd5ea74e1f879c52a91917,1.886170138
aead8b287c9480f564ba2d333612bbfa,1.88486983
6a0e4d2996f4d0a603dbbb30d0b0f17b,1.871115027
fce1eab4411d5df240d93ff334f15385,1.853062565
e7bb2a9a04e354411b083c574e7e1b1b,1.84797283
266e3c74976fe48b49c4833f6c9f0d33,1.846801997
766e319feda9c5fe35f577388e9d3081,1.827918503
e3073c9cf27a471c511f7ca92842644a,1.815953378
0757ebc12c9e6536fa0e8d3b7fa99d2e,1.815849521
fc8cfa21bc52ce06040158d584ee1147,1.801607074
0f54ed24f89e5c8f67f4261d1ca7e18d,1.795917738
5d3cb916b73b5273a6820dd7c93613ab,1.795911748
f15a80d46beb9997e63448e46ac01f0e,1.795905158
aff741077114c7f99806a786ffe686c3,1.7959047
7f8e971121fea7afbe5297935b4546ea,1.795903924
88b4364a92065a6ad43358027e0ec2fa,1.795903735
332a8634a1f50302c36a708b1074fd09,1.795903101
507a08d46df3369ee992dae0ad39b856,1.795902151
0723c0809ca062085a93e8970e58804d,1.795902009
db2a4a429df66585144b89a9d2890c7c,1.795901842
2e91a40c5451a06f5a12d3405dc2d256,1.795900863
e36806b37fdb9407f43950584c74ac88,1.795900701
0a1e1d8da51f5dd7077a7f2748b10d58,1.795900607
276a1710c2256341e3062759c39f9e03,1.795900122
